expert_q,N,seed,astar_in_mask,nv_logger,nv_ceiling,nv_floor_masked,nv_floor_bare,nv_bc,nv_bc_masked,nv_dt_vanilla,nv_dt_vanilla_masked,nv_dt_structured,nv_dt_structured_masked,nv_eto_struct,nv_eto_struct_masked,nv_eto_uncon,nv_eto_uncon_masked
0.25,100,2,0.6130952380952381,0.03988183449542191,0.18399306091155307,0.05090717279373106,-1.8741395557008385,0.12398742684766552,0.02298194848852598,-0.04855781285994497,0.047903175644369446,-0.04296637040925337,0.05012524613776059,-3.9175449575764274,0.06863671943978578,-3.739753645155236,0.15657947661699906
0.25,400,0,0.6071428571428571,0.05142962618418579,0.2172442074718254,0.06057941991613994,-1.9636366438693909,-0.012903920046645135,-0.0017902338941259786,0.16710820200361562,0.028617005266004057,-0.05578813897298365,0.048008215780059774,-3.7252724704844873,0.1927625081116118,-0.39847494731847544,0.2168295523263191
0.25,400,1,0.6130952380952381,0.06034302038874303,0.22303783973884636,0.06279644517508172,-2.0363333757966418,0.02175575798360409,-0.004086137772324222,0.14087643374012496,0.03170509249820339,0.021743901539113604,0.06908057366331136,-2.8466789085999586,0.16508390849030308,-1.8042219510497122,0.19948384834940613
0.25,400,2,0.6071428571428571,0.05805528792223184,0.22371294275540832,0.07500544054287112,-1.895493762802747,0.067533242619072,0.00675608918286572,0.15495212368315092,0.044126734359557634,0.14323417586733592,0.07239614184905181,-3.7032484847318243,0.17630470473952076,-1.4778197764925955,0.2009288355068015
0.25,1600,0,0.6071428571428571,0.05562167202755014,0.22410566347966124,0.07158261690589285,-1.9242678103487678,0.006791804686679028,0.006791804686679028,0.029938748713425865,-0.000431452764675997,-0.050116773898390116,0.0543709415059377,-2.2880961037123377,0.2149972679277626,0.9008898909774375,0.22410566347966124
0.25,1600,1,0.6071428571428571,0.053969571243151625,0.21985204590215915,0.06586407099434229,-1.927640236939574,0.04813231300505266,0.04813231300505266,0.06161787261699384,-0.0038708526171348026,-0.22067900752226213,0.058841340371488894,-1.736015274054027,0.21216860617361286,-0.2986688822873081,0.21985204590215915
0.25,1600,2,0.6071428571428571,0.05092648886246846,0.21543361055700677,0.06343659634229089,-1.92158999120135,0.012486303416838535,0.012486303416838535,0.10295858873054446,0.039918602836391176,0.04423769629326535,0.06824647450496305,-1.9328645349121605,0.2065133525310729,0.8589353942265847,0.21543361055700677
0.5,100,0,0.6547619047619048,-0.08544233900741321,0.1835181741434829,-0.07313912606444552,-2.0417855994643945,-0.11100491876528974,-0.08846286179182555,-0.005509509271176281,-0.05661550423193142,-0.019916464185172584,-0.047605972788124666,-4.197421983378914,-0.1987801020523445,0.9753242822406322,0.1753097703210638
0.5,100,1,0.6369047619047619,-0.08699615728316602,0.060444784159679917,-0.09838299329515786,-2.004985253758338,0.03237984585968474,0.007714419309082211,-0.0733900919936714,-0.026931364883478248,-0.23015994903508324,-0.1489147098158103,-4.393502681512443,-0.28663555567440896,0.9346093070547926,0.05647015249759109
0.5,100,2,0.6547619047619048,-0.06313257437268702,0.17279111272169595,-0.04534184144821159,-1.9844591129620612,-0.16346374940766242,-0.10293726718296684,-0.1238891505672941,-0.01068754151505493,-0.0037337254561571817,-0.006420997756630668,-4.172487886970141,-0.17370823671330612,0.9311939270238148,0.16116227721085305
