seed,model,t,ref_bin,action,price,true_demand,estimated_demand,true_revenue,estimated_revenue,true_dynamic_q,estimated_dynamic_q
0,structured,0,6,10,2.0,0.5765965558924904,0.5772983431816101,1.1531931117849807,1.1545966863632202,444.77350218611286,1681.8260398089885
0,structured,0,7,0,0.5,92.92351881438593,211.09268188476562,46.461759407192964,105.54634094238281,416.9825260114255,1557.381618797779
0,structured,0,7,1,0.65,86.11650064526928,118.97331237792969,55.97572541942504,77.3326530456543,426.64451784957134,1529.2910535931587
0,structured,0,7,2,0.8,74.55466141264027,67.05415344238281,59.64372913011222,53.643322753906254,430.49758801624614,1505.9868562459944
0,structured,0,7,3,0.95,58.05423048206596,37.792171478271484,55.15151895796266,35.90256290435791,441.21505729351014,1530.0222519814968
0,structured,0,7,4,1.1,39.53209152859905,21.299922943115234,43.48530068145895,23.42991523742676,430.58267884032847,1517.763186353445
0,structured,0,7,5,1.25,23.595240020253392,12.00478458404541,29.49405002531674,15.005980730056763,424.3067078696283,1510.6619338154792
0,structured,0,7,6,1.4,12.730503807537172,6.765977382659912,17.82270533055204,9.472368335723877,415.47045063875083,1505.6392110288143
0,structured,0,7,7,1.55,6.446476583758963,3.813352108001709,9.992038704826392,5.9106957674026495,431.86558209215974,1626.1693728685377
0,structured,0,7,8,1.7,3.152322275400133,2.149230718612671,5.358947868180226,3.6536922216415406,427.2324912555136,1623.9123693227766
0,structured,0,7,9,1.85,1.5142374741262383,1.2113208770751953,2.8013393271335407,2.240943622589111,429.7530954101262,1623.9119883179665
0,structured,0,7,10,2.0,0.7210359413019041,0.6827089190483093,1.4420718826038081,1.3654178380966187,445.0623809569317,1682.036860960722
0,structured,0,8,0,0.5,94.26758241011312,248.00685119628906,47.13379120505656,124.00342559814453,417.8025836352029,1575.961826145649
0,structured,0,8,1,0.65,88.59476187202091,139.9375762939453,57.58659521681359,90.95942459106446,428.4404541029475,1543.3029580831526
0,structured,0,8,2,0.8,78.58349830425585,78.9596176147461,62.866798643404685,63.167694091796875,448.9303369789522,1557.2873831689358
0,structured,0,8,3,0.95,63.413559101080075,44.552860260009766,60.24288114602607,42.32521724700928,447.3402593048956,1536.6584883630276
0,structured,0,8,4,1.1,45.01660026875221,25.13889503479004,49.51826029562743,27.652784538269046,444.330918139939,1523.3087376236915
0,structured,0,8,5,1.25,27.8884821977137,14.184592247009277,34.860602747142124,17.730740308761597,432.50834805534095,1513.8975830018521
0,structured,0,8,6,1.4,15.44652650835348,8.003636360168457,21.625137111694873,11.205090904235838,430.55214951065847,1629.791096687317
0,structured,0,8,7,1.55,7.943854918397836,4.516042709350586,12.312975123516646,6.999866199493408,434.18651851085,1627.2585433006286
0,structured,0,8,8,1.7,3.9165722796764384,2.548170566558838,6.658172875449945,4.331889963150024,433.60992895844265,1626.0029346585272
0,structured,0,8,9,1.85,1.8890961937039072,1.4378023147583008,3.494827958352228,2.6599342823028564,447.11513703268014,1683.3313774049282
0,structured,0,8,10,2.0,0.9013298652847831,0.8112782835960388,1.8026597305695662,1.6225565671920776,450.2025923495716,1683.0956826388835
0,structured,0,9,0,0.5,95.36908501514996,291.4209899902344,47.68454250757498,145.7104949951172,418.3533349377213,1597.6688955426216
0,structured,0,9,1,0.65,90.67852769181764,164.62875366210938,58.941042999681464,107.0086898803711,429.7949018858154,1559.3522233724593
0,structured,0,9,2,0.8,82.12735763411494,93.00167846679688,65.70188610729195,74.4013427734375,451.76542444283945,1568.5210318505765
0,structured,0,9,3,0.95,68.46015003234307,52.538246154785156,65.03714253072592,49.911333847045896,452.13452068959543,1544.2446049630641
0,structured,0,9,4,1.1,50.62496744995102,29.679758071899414,55.68746419494613,32.64773387908936,450.5001220392577,1528.3036869645118
0,structured,0,9,5,1.25,32.62929005454785,16.766616821289062,40.786612568184815,20.958271026611328,438.4343578763836,1517.1251137197019
0,structured,0,9,6,1.4,18.618382790150854,9.471752166748047,26.065735906211195,13.260453033447265,434.9927483051748,1631.8464588165282
0,structured,0,9,7,1.55,9.752783704079249,5.350756645202637,15.116814741322836,8.293672800064087,436.9903581286562,1628.5523499011992
0,structured,0,9,8,1.7,4.856815435025609,3.0227322578430176,8.256586239543536,5.138644838333129,435.2083423225362,1626.8096895337105
0,structured,0,9,9,1.85,2.3545349060340417,1.7075945138931274,4.355889576162977,3.1590498507022855,447.97619865049086,1683.8304929733276
0,structured,0,9,10,2.0,1.1261946057365684,0.9646497368812561,2.2523892114731368,1.9292994737625122,450.65232183047516,1683.402425545454
0,structured,0,10,0,0.5,96.26731126558707,342.48876953125,48.133655632793534,171.244384765625,418.98751451892747,1623.5879182577132
