seed,model,t,ref_bin,ref_price,true_action,chosen_action,true_price,chosen_price,price_index_error,wrong_action,action_regret,policy_regret,inmodel_optimism,demand_log_rmse,demand_log_error_at_chosen,state_visit_count,selected_support_count,selected_support_share,selected_in_topk_support
4,structured,7,16,1.7,4,0,1.1,0.5,4,1,42.01961245807691,42.01961245807691,365.93270972225145,0.9345834258299002,2.1273050986193747,0,0,0.0,1
4,structured,7,17,1.775,4,0,1.1,0.5,4,1,45.12628277484831,45.12628277484831,433.8022153170052,1.0163216133014161,2.27682442217555,0,0,0.0,1
4,structured,7,18,1.85,5,0,1.25,0.5,5,1,48.54779865566059,48.54779865566059,518.444463372997,1.1049656282562887,2.4367091668695426,0,0,0.0,1
4,structured,7,19,1.925,5,0,1.25,0.5,5,1,52.913791872738756,52.913791872738756,622.2013111386888,1.2000127139176373,2.6032609452265536,0,0,0.0,1
4,structured,7,20,2.0,5,0,1.25,0.5,5,1,56.69760713183363,56.69760713183363,744.9857334482948,1.29901817055174,2.770123586119194,0,0,0.0,1
4,unconstrained,0,0,0.5,10,10,2.0,2.0,0,0,0.0,34.51946799463525,74.0567980172433,0.8858844198286369,0.27398735098741533,5,3,0.6,1
4,unconstrained,0,1,0.575,10,10,2.0,2.0,0,0,0.0,24.684016353329298,64.03576331370414,0.8331980432738627,0.2783276008669828,7,3,0.42857142857142855,1
4,unconstrained,0,2,0.65,10,10,2.0,2.0,0,0,0.0,24.684016353329298,64.06510115419513,0.7819661651152561,0.27667667364733783,3,2,0.6666666666666666,1
4,unconstrained,0,3,0.725,10,10,2.0,2.0,0,0,0.0,22.784405674733875,61.35571563185192,0.7267589420302553,0.2680586662323089,4,2,0.5,1
4,unconstrained,0,4,0.8,10,10,2.0,2.0,0,0,0.0,22.784405674733875,61.385406955195776,0.6822662517796736,0.25150577685454734,7,4,0.5714285714285714,1
4,unconstrained,0,5,0.875,10,4,2.0,1.1,6,1,8.41264542206926,42.28845990732731,86.77035207537995,0.6480339977262415,0.45263224795536194,7,0,0.0,0
4,unconstrained,0,6,0.95,10,4,2.0,1.1,6,1,19.947274921328244,53.82308940658629,85.00776068620218,0.6142471004067606,0.36764156722971864,8,0,0.0,0
4,unconstrained,0,7,1.025,10,7,2.0,1.55,3,1,13.19679886477195,37.88081521810125,83.6433388937379,0.5858663207590499,1.0900393735279439,5,0,0.0,0
4,unconstrained,0,8,1.1,10,7,2.0,1.55,3,1,16.01607383872158,40.70009019205088,86.12288570182375,0.5598685729368647,1.0309059854958642,2,0,0.0,0
4,unconstrained,0,9,1.175,3,7,0.95,1.55,4,1,15.144162560939208,39.828178914268506,88.27949072513081,0.558257444697031,0.9600159048705108,0,0,0.0,0
4,unconstrained,0,10,1.25,3,6,0.95,1.4,3,1,11.211659991285387,35.895676344614685,88.79912509264744,0.5501033905975858,0.58674485757918,5,0,0.0,0
4,unconstrained,0,11,1.325,10,5,2.0,1.25,5,1,0.15767706942165205,24.84169342275095,78.25905301595026,0.536866321831195,0.23572393254066526,9,0,0.0,0
4,unconstrained,0,12,1.4,5,5,1.25,1.25,0,0,0.0,24.684016353329298,75.51860013272335,0.5271957645286125,0.17430168699056026,5,3,0.6,1
4,unconstrained,0,13,1.475,4,5,1.1,1.25,1,1,5.7335287194338775,28.517934394167753,69.99852158047787,0.5324265947633545,0.12208342798237082,4,0,0.0,0
