expert_q,N,seed,astar_in_mask,nv_logger,nv_ceiling,nv_floor_masked,nv_floor_bare,nv_bc,nv_bc_masked,nv_eto_struct,nv_eto_struct_masked,nv_eto_uncon,nv_eto_uncon_masked
0.75,1600,1,0.2619047619047619,0.13895924977738663,0.4337773514085293,0.10379934582466135,-1.950408568641819,0.1362902468865708,0.1362902468865708,-2.6415161693638076,0.1604933678584004,0.7737853405067816,0.4337773514085293
0.75,1600,2,0.25595238095238093,0.13999835729705304,0.4299288968819139,0.11640952797652664,-1.943668354317618,0.23489871361042558,0.23489871361042558,-1.8806353815654484,0.1954595533843357,0.7651701988059244,0.42802283892473514
0.75,1600,3,0.26785714285714285,0.1462633611862506,0.4432009436697019,0.1271753753000766,-1.8948781180120298,0.2120799737404095,0.17548529711670868,-2.8192111275513034,0.20366909238241407,0.8215822249743334,0.4389537060730728
0.75,1600,4,0.25595238095238093,0.1450959433393143,0.43389927412146684,0.12490917499804467,-1.924615339156406,0.17502551787313902,0.16941798188436052,-2.7559167378072362,0.2082008589969424,0.737396178043251,0.4319952944832893
1.0,100,0,0.44642857142857145,0.4425289704836447,0.9697264283575427,0.48875749457346074,-1.9515117002081923,0.4160826377197598,0.3413410474695247,-4.294358892175404,0.48112680708222716,0.4936286970768906,0.9616009691101213
1.0,100,1,0.4523809523809524,0.4237714776123379,0.9962124761985861,0.4294446805670499,-1.9513310661531904,0.38431176780125315,0.3493858392372748,-4.3814925493543795,0.47608023058230836,-0.3040122788817783,0.9962124761985861
1.0,100,2,0.44642857142857145,0.43735421716528083,0.9854976249667895,0.42980740524536876,-2.042486706238889,0.4658302444731088,0.4251886338598856,-4.716534867618281,0.48252458782175245,0.472188706637953,0.9770984979622718
1.0,100,3,0.4226190476190476,0.41959991630712046,0.8593933197580774,0.36969243306211835,-2.0486766330738795,0.34087768245066136,0.25320031116799036,-4.655698126912262,0.4262528181873745,0.3965567327561567,0.8593933197580774
1.0,100,4,0.43452380952380953,0.41795747142725026,0.987375140750119,0.4521595903137944,-1.8515330035787145,0.47567056327191365,0.38084538867714207,-4.104935629364731,0.5426966693090128,0.4531234274329688,0.987375140750119
1.0,400,0,0.5119047619047619,0.42622944334661433,0.9982500147178773,0.44820084411493794,-1.90913536279832,0.3889964161578523,0.3212112197588621,-4.328274044126312,0.42007527844320924,0.7514236273485236,0.9982500147178773
1.0,400,1,0.4880952380952381,0.41607357322358907,0.9990277928436812,0.41396281461218903,-1.9766310924156487,0.4369570599164785,0.3101298245885659,-4.452557308794014,0.4967058644488408,0.5245054258618999,0.9990277928436802
