N,noise,seed,v_logger,v_anchor,v_opt,v_low,v_high,nv_logger,nv_low,nv_high
1600,0.2,8,445.52424942669785,421.64695137411786,478.1010548050897,451.10983532116165,439.93866353223405,0.42295062008690826,0.5218909194629044,0.32401032071091207
1600,0.2,9,445.21152215891254,421.14554862217454,477.7638570902434,450.59012930776623,439.83291501005885,0.42505638525584954,0.520054051106059,0.3300587194056401
1600,0.5,0,445.2795095839107,420.6941057714956,478.158742618527,451.42195545731994,439.13706371050137,0.42783536382315385,0.5347262485556233,0.32094447909068335
1600,0.5,1,446.6035423931296,422.2408621751993,479.08172757209076,452.0379750342712,441.169109751988,0.428612056621901,0.5242199014918842,0.33300421175191774
1600,0.5,2,444.73513914633327,420.7019605669336,477.9242309914933,451.27828097299977,438.19199731966677,0.4199969417691029,0.5343430132919518,0.30565087024625404
1600,0.5,3,444.5594085410154,420.1985074854882,477.65883098140347,450.2110759056612,438.9077411763696,0.4239603882017639,0.5223181248241057,0.32560265157942214
1600,0.5,4,447.02023780841,422.8141069914742,479.6367344894461,452.55771628574365,441.48275933107635,0.4259945708740723,0.5234465670446347,0.3285425747035099
1600,0.5,5,444.5363661206284,420.42955294452105,477.5980827412801,450.432447444541,438.64028479671566,0.4216797818976615,0.5248148694165101,0.31854469437881183
1600,0.5,6,444.2766413029127,420.4015625942231,477.26680319791535,449.9773447495799,438.57593785624556,0.41985364794428404,0.5201029986222632,0.31960429726630585
1600,0.5,7,446.36887799885363,422.5603637349696,478.8785864087379,451.903766865419,440.83398913228825,0.4227497448170269,0.5210285718785101,0.32447091775554354
1600,0.5,8,445.52424942669785,421.64695137411786,478.1010548050897,451.10983532116165,439.93866353223405,0.42295062008690826,0.5218909194629044,0.32401032071091207
1600,0.5,9,445.21152215891254,421.14554862217454,477.7638570902434,450.59012930776623,439.83291501005885,0.42505638525584954,0.520054051106059,0.3300587194056401
