policy,qhat,clip,estimator,value,ci95_low,ci95_high,n_train_episodes,n_test_episodes,target_q95,step_ess,step_ess_frac,terminal_ess,terminal_ess_frac,max_step_weight,p95_step_weight,mean_pb_at_target_argmax,target_argmax_pb_lt_0.01,mean_target_prob_on_logged_action
vanilla_dt_support_top3,weak_action_only,30.0,DR,0.8312223836530496,0.6685262317090499,1.0258230185547135,1680,541,,964.4257614196849,0.22283404838717305,58.77869646432689,0.10864823745716616,30.0,22.63564188974209,0.2371430854005071,0.0025415896487985213,0.3346844242547199
bc_support_top3,weak_action_only,1.0,DM,0.21481705181278624,0.20860663732374016,0.22087164080093347,1680,541,,2273.4798007819218,0.5252957025836233,164.34104264714406,0.3037727220834456,1.0,1.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,1.0,IPS,0.1348946722938906,0.12414424141603092,0.14758600316409962,1680,541,,2273.4798007819218,0.5252957025836233,164.34104264714406,0.3037727220834456,1.0,1.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,1.0,SNIPS,0.2635579515441246,0.2417188474096023,0.28657239316333255,1680,541,,2273.4798007819218,0.5252957025836233,164.34104264714406,0.3037727220834456,1.0,1.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,1.0,DR,0.2756799515329616,0.26508193898702537,0.28764229901006894,1680,541,,2273.4798007819218,0.5252957025836233,164.34104264714406,0.3037727220834456,1.0,1.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,3.0,DM,0.21481705181278624,0.20846019967411342,0.220993524620865,1680,541,,2255.490780254507,0.5211392745504869,164.07126130177568,0.3032740504653894,3.0,3.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,3.0,IPS,0.397414648241075,0.3611578217343453,0.43674829017992234,1680,541,,2255.490780254507,0.5211392745504869,164.07126130177568,0.3032740504653894,3.0,3.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,3.0,SNIPS,0.2668932242502102,0.24711052217372736,0.28835154522224715,1680,541,,2255.490780254507,0.5211392745504869,164.07126130177568,0.3032740504653894,3.0,3.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,3.0,DR,0.3891183785805663,0.35494543375807663,0.42102472559442083,1680,541,,2255.490780254507,0.5211392745504869,164.07126130177568,0.3032740504653894,3.0,3.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,10.0,DM,0.21481705181278624,0.20883083835324628,0.2209862069016674,1680,541,,1832.4494829981047,0.4233940579940168,153.51270706326176,0.28375731434983686,10.0,10.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,10.0,IPS,0.9215197891595102,0.8138654631736575,1.0381051577610458,1680,541,,1832.4494829981047,0.4233940579940168,153.51270706326176,0.28375731434983686,10.0,10.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,10.0,SNIPS,0.2890417084561299,0.2625574771688941,0.31809678579721573,1680,541,,1832.4494829981047,0.4233940579940168,153.51270706326176,0.28375731434983686,10.0,10.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,10.0,DR,0.49386542208583967,0.4114480325595949,0.5908030398159144,1680,541,,1832.4494829981047,0.4233940579940168,153.51270706326176,0.28375731434983686,10.0,10.0,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,30.0,DM,0.21481705181278624,0.20823615569936485,0.22075968408482097,1680,541,,1229.1101622870842,0.28399033324562944,121.75797728127007,0.22506095615761565,30.0,25.744150164299413,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,30.0,IPS,1.4487015300781414,1.244187504441121,1.6810014502591561,1680,541,,1229.1101622870842,0.28399033324562944,121.75797728127007,0.22506095615761565,30.0,25.744150164299413,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,30.0,SNIPS,0.309596689008837,0.2793299387553737,0.34577736942494175,1680,541,,1229.1101622870842,0.28399033324562944,121.75797728127007,0.22506095615761565,30.0,25.744150164299413,0.28529564427104187,0.022412199630314232,0.3755736853016918
bc_support_top3,weak_action_only,30.0,DR,0.4791507893298378,0.31521483296022634,0.6683885880673024,1680,541,,1229.1101622870842,0.28399033324562944,121.75797728127007,0.22506095615761565,30.0,25.744150164299413,0.28529564427104187,0.022412199630314232,0.3755736853016918
logged_policy_estimated,strong_state_action,1.0,DM,0.3867113984655697,0.38049321933764374,0.39319031886666655,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,1.0,IPS,0.37672698779219305,0.34850052962519723,0.41024372619689187,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,1.0,SNIPS,0.37672698779219305,0.34436875198950867,0.40709957399599084,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,1.0,DR,0.37676280398705697,0.3516308328905835,0.40428095117624335,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,3.0,DM,0.3867113984655697,0.38079920717429994,0.393331414862108,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,3.0,IPS,0.37672698779219305,0.34805561957851894,0.40795687156447447,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,3.0,SNIPS,0.37672698779219305,0.34945636016944903,0.40643679425802337,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,3.0,DR,0.37676280398705697,0.3521239248491142,0.4032701918114213,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,10.0,DM,0.3867113984655697,0.3807712906801487,0.39270743618871556,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,10.0,IPS,0.37672698779219305,0.34475524812676567,0.4097310501055868,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,10.0,SNIPS,0.37672698779219305,0.3469500720459856,0.40795668786117006,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,10.0,DR,0.37676280398705697,0.34864234669171656,0.40379904294140617,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,30.0,DM,0.3867113984655697,0.37990950904606247,0.393134303660531,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,30.0,IPS,0.37672698779219305,0.3464399988349455,0.4072767640370979,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,30.0,SNIPS,0.37672698779219305,0.34561143035080455,0.4083393035709517,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,strong_state_action,30.0,DR,0.37676280398705697,0.353105104450339,0.40394697869239693,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
vanilla_dt,strong_state_action,1.0,DM,0.38265402282197014,0.3753597987275047,0.390966632316266,1680,541,0.5560296773910522,2348.8123745664698,0.5427015652880013,153.53729963489914,0.28380277196839027,1.0,1.0,0.19200418765971264,0.0020794824399260627,0.1985048322952818
